rank,csa_code,csa_title,population_2023,zhvi,zori,price_to_rent,appreciation_since_2000
74,521,"Springfield-Amherst Town-Northampton, MA",693629,373143,1873,16.6,2.88
75,246,"Fayetteville-Lumberton-Pinehurst, NC",693299,236790,1462,13.5,2.04
76,298,"Jackson-Vicksburg-Brookhaven, MS",687257,199551,1461,11.4,1.66
77,556,"Wichita-Arkansas City-Winfield, KS",687096,217215,1170,15.5,2.22
78,438,"Portland-Lewiston-South Portland, ME",680094,503356,2109,19.9,3.88
79,380,"Mobile-Daphne-Fairhope, AL",665147,263051,1446,15.2,2.44
80,258,"Fort Wayne-Huntington-Auburn, IN",657456,255192,1166,18.2,2.38
81,170,"Charleston-Huntington-Ashland, WV-OH-KY",643394,155849,1122,11.6,1.77
82,496,"Savannah-Hinesville-Statesboro, GA",640193,316960,1784,14.8,2.56
83,304,"Johnson City-Kingsport-Bristol, TN-VA",598800,259362,1349,16.0,2.74
84,194,"Columbus-Auburn-Opelika, GA-AL",566030,254874,1457,14.6,1.93
85,318,"Lafayette-New Iberia-Opelousas, LA",563411,187862,1304,12.0,1.3
86,330,"Lansing-East Lansing-Owosso, MI",541202,243320,1289,15.7,2.06
87,566,"Youngstown-Warren-Salem, OH",526151,168199,1079,13.0,2.34
88,204,"Corpus Christi-Kingsville-Alice, TX",523902,217260,1398,12.9,1.66
89,120,"Asheville-Waynesville-Brevard, NC",513720,433013,1809,20.0,2.48
90,209,"Davenport-Moline, IA-IL",467817,197993,997,16.5,1.74
91,396,"Myrtle Beach-Conway, SC",463209,326114,1700,16.0,2.32
92,310,"Kalamazoo-Battle Creek-Portage, MI",456459,240962,1250,16.1,2.28
93,168,"Cedar Rapids-Iowa City, IA",455756,264104,1283,17.2,1.89
94,154,"Brownsville-Harlingen-Raymondville, TX",446747,205462,1463,11.7,1.96
95,356,"Macon-Bibb County--Warner Robins, GA",436853,223901,1454,12.8,2.22
96,466,"Rockford-Freeport-Rochelle, IL",428494,212179,1349,13.1,2.31
97,264,"Gainesville-Lake City, FL",425189,298663,1629,15.3,3.0
98,533,"Tallahassee-Bainbridge, FL-GA",421732,275238,1551,14.8,2.37
99,388,"Montgomery-Selma, AL",421645,194565,1453,11.2,1.64
100,508,"Shreveport-Bossier City-Minden, LA",418533,180202,1256,12.0,1.32
101,118,"Appleton-Oshkosh-Neenah, WI",418168,328163,1165,23.5,2.01
102,190,"Columbia-Jefferson City-Moberly, MO",415747,284976,1265,18.8,2.09
103,352,"Lubbock-Plainview, TX",396955,198464,1381,12.0,2.22
104,427,"Peoria-Canton, IL",394781,170252,1127,12.6,1.65
105,267,"Green Bay-Shawano, WI",377217,336360,1155,24.3,2.63
106,314,"Kennewick-Richland-Walla Walla, WA",375821,437706,1675,21.8,2.61
107,474,"Saginaw-Midland-Bay City, MI",374321,191004,1151,13.8,2.19
108,339,"Lincoln-Beatrice, NE",366021,295964,1312,18.8,2.47
109,372,"Midland-Odessa-Andrews, TX",365482,292995,1600,15.3,2.15
110,240,"Erie-Meadville, PA",349572,206455,1107,15.5,2.54
111,241,"Evansville-Henderson, IN-KY",327562,218175,1107,16.4,2.08
112,228,"Duluth-Grand Rapids, MN-WI",326968,255657,1443,14.8,2.06
113,462,"Rochester-Austin-Winona, MN",318856,313009,1498,17.4,2.54
114,366,"Medford-Grants Pass, OR",308589,424611,1756,20.1,3.01
115,169,"Champaign-Urbana-Danville, IL",307260,199514,1256,13.2,2.12
116,522,"Springfield-Jacksonville-Lincoln, IL",303113,175124,1182,12.3,1.53
117,540,"Tyler-Jacksonville, TX",297426,264411,1365,16.1,1.98
118,108,"Amarillo-Borger, TX",292428,204808,1296,13.2,1.69
119,468,"Rocky Mount-Wilson-Roanoke Rapids, NC",288366,186672,1233,12.6,1.94
120,162,"Burlington-South Burlington-Barre, VT",288084,460736,1917,20.0,3.31
121,292,"Idaho Falls-Rexburg-Blackfoot, ID",287460,414893,1311,26.4,3.0
122,244,"Fargo-Wahpeton, ND-MN",285484,317686,1154,22.9,1.73
123,320,"Lafayette-West Lafayette-Frankfort, IN",284211,272915,1244,18.3,2.32
124,554,"Wausau-Stevens Point-Wisconsin Rapids, WI",283575,272357,1064,21.3,2.09
125,324,"Lake Charles-DeRidder, LA",276909,191163,1138,14.0,1.05
126,384,"Monroe-Ruston, LA",269847,176231,1233,11.9,2.02
127,277,"Harrisonburg-Staunton-Stuarts Draft, VA",264994,342112,1703,16.7,1.81
128,150,"Bowling Green-Glasgow-Franklin, KY",264525,255418,1237,17.2,2.17
129,222,"Dothan-Enterprise-Ozark, AL",258863,185746,1305,11.9,1.69
